,id,Gender,Customer Type,Age,Price,NewUsed,Category,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Shipping delay in days,Arrival delay in days,Satisfaction
2500,750H611y,Male,Premium,,312.71,New,Technology,4,4,3,2,1,3,3,3,3,0,0,Satisfied
2501,964Z354a,Female,Not Premium,27.0,125.96,New,Entertainment,1,3,4,1,5,4,1,4,4,0,0,Not Satisfied
2502,857K7v33,Male,Premium,,60.5,New,Home/Kitchen,1,3,1,1,1,3,3,2,1,0,0,Not Satisfied
2503,425Q53h5,Female,Premium,25.0,255.04,New,Technology,1,1,5,2,3,2,4,2,5,0,0,Satisfied
2504,609E654s,Male,Not Premium,32.0,136.44,New,Entertainment,3,2,3,2,2,3,4,3,3,0,0,Not Satisfied
2505,815M904z,Female,Premium,38.0,166.89,New,Technology,3,3,3,4,2,2,2,3,2,1,1,Not Satisfied
2506,433S184p,Female,Premium,56.0,81.21,New,Technology,5,5,4,4,4,4,5,4,3,0,0,Satisfied
2507,839Y450w,Female,Premium,56.0,31.7,New,Technology,5,4,3,5,3,4,4,5,3,0,0,Not Satisfied
2508,876N846l,Female,Premium,53.0,16.18,New,Sport,4,4,4,5,3,1,1,4,4,0,0,Satisfied
2509,678F930e,Female,Premium,32.0,101.69,New,Technology,4,3,4,3,3,4,3,4,4,0,0,Not Satisfied
2510,800V559z,Male,Premium,65.0,115.78,Used,Home/Kitchen,5,3,5,3,2,3,3,3,3,0,0,Not Satisfied
2511,338R429j,Female,Premium,46.0,107.9,New,Entertainment,4,4,4,1,4,4,4,3,4,2,1,Not Satisfied
2512,804N99h4,Male,Premium,56.0,128.92,New,Technology,4,4,4,3,3,3,4,3,1,0,1,Not Satisfied
2513,669W906n,Male,Premium,44.0,169.02,New,Sport,3,3,4,3,5,5,4,4,4,1,1,Satisfied
2514,459J65g1,Female,Premium,49.0,21.28,New,Sport,5,4,3,5,1,1,5,5,4,0,0,Not Satisfied
2515,997I241s,Female,Not Premium,22.0,192.88,New,Entertainment,3,4,3,3,4,2,4,3,3,0,0,Not Satisfied
2516,649U580f,Male,Not Premium,31.0,95.38,New,Technology,2,4,2,1,4,2,1,3,2,0,0,Not Satisfied
2517,952F127y,Male,Premium,47.0,228.6,New,Technology,1,1,4,5,5,5,5,5,4,0,0,Satisfied
2518,194H460m,Male,Premium,41.0,172.22,New,Sport,1,1,3,3,4,3,4,3,3,1,1,Satisfied
2519,284O363f,Female,Not Premium,33.0,8.9,New,Home/Kitchen,1,3,5,2,4,4,1,3,5,0,0,Not Satisfied
2520,463L564c,Female,Premium,38.0,107.7,New,Home/Kitchen,3,3,4,3,2,5,4,2,4,0,0,Satisfied
2521,513F670m,Male,Not Premium,23.0,111.73,New,Entertainment,2,4,4,4,4,4,3,3,4,0,0,Not Satisfied
2522,235D978e,Female,Premium,,13.9,New,Sport,4,3,5,3,1,4,2,4,5,1,1,Not Satisfied
2523,130N248q,Male,Premium,39.0,349.31,New,Technology,5,5,3,5,5,5,3,5,3,0,0,Satisfied
2524,225H214v,Male,Premium,45.0,122.49,New,Entertainment,5,2,5,5,4,5,4,5,3,0,0,Satisfied
2525,661E459h,Male,Premium,33.0,286.32,New,Home/Kitchen,4,4,5,3,3,3,4,3,3,0,0,Satisfied
2526,132I324y,Female,Premium,38.0,10.0,New,Entertainment,5,5,2,4,4,4,4,4,4,0,0,Satisfied
2527,831V21a6,Female,Not Premium,21.0,23.94,New,Technology,4,2,4,5,2,4,5,4,4,0,0,Not Satisfied
2528,331H292o,Male,Premium,23.0,48.74,New,Other,4,4,5,4,2,4,3,5,5,0,0,Satisfied
2529,471G855q,Female,Premium,70.0,6.83,New,Technology,4,1,1,5,4,5,4,5,4,1,2,Not Satisfied
2530,960P422q,Female,Premium,29.0,75.94,New,Home/Kitchen,1,1,5,5,2,4,5,2,5,0,0,Satisfied
2531,080V600e,Male,Premium,56.0,221.18,Used,Entertainment,3,3,4,4,4,4,5,4,3,0,0,Satisfied
2532,917V991t,Female,Premium,56.0,43.06,New,Technology,2,4,4,2,2,5,2,3,4,0,0,Satisfied
2533,009A377v,Female,Premium,48.0,241.81,New,Technology,4,2,4,5,3,4,5,5,5,0,0,Not Satisfied
2534,783O651w,Male,Premium,51.0,22.8,New,Entertainment,4,4,5,3,0,3,5,3,5,0,0,Not Satisfied
2535,021J303z,Female,Premium,,53.9,New,Entertainment,5,3,4,1,3,4,2,1,4,0,0,Not Satisfied
2536,820L228z,Male,Not Premium,40.0,51.69,New,Entertainment,4,3,3,4,5,5,5,4,3,0,0,Satisfied
2537,408O756l,Female,Premium,18.0,96.61,New,Entertainment,1,4,4,1,3,4,4,3,4,0,0,Not Satisfied
2538,810Y892y,Female,Premium,31.0,22.22,New,Entertainment,4,4,1,4,5,1,1,1,1,0,0,Not Satisfied
2539,065F499m,Male,Premium,42.0,27.71,New,Technology,0,2,4,3,3,3,5,3,2,0,0,Satisfied
2540,047R620l,Male,Premium,47.0,55.06,New,Technology,2,2,4,1,1,1,3,1,1,0,0,Not Satisfied
2541,318I48k8,Male,Not Premium,48.0,102.92,New,Technology,1,5,2,4,3,5,3,5,2,0,0,Not Satisfied
2542,683A494q,Male,Premium,57.0,15.6,New,Sport,3,3,4,5,5,5,3,5,2,0,0,Satisfied
2543,694Z496y,Female,Premium,54.0,270.28,New,Home/Kitchen,3,3,2,3,3,3,3,3,4,0,0,Satisfied
2544,402K456q,Male,Not Premium,44.0,30.91,New,Sport,5,3,1,4,4,4,3,4,1,0,0,Satisfied
2545,127V832t,Female,Not Premium,22.0,96.54,New,Home/Kitchen,1,3,1,5,1,1,5,5,1,0,0,Not Satisfied
2546,956W259m,Male,Premium,51.0,51.59,New,Technology,4,4,5,5,5,5,3,5,4,0,0,Satisfied
2547,892I175p,Female,Premium,58.0,105.65,New,Technology,4,4,5,5,4,5,5,3,5,2,2,Satisfied
2548,410R225p,Female,Premium,19.0,25.92,New,Technology,5,5,2,3,2,4,3,5,2,0,0,Not Satisfied
2549,613C543h,Male,Premium,53.0,94.62,New,Home/Kitchen,1,1,3,4,4,4,3,4,3,0,0,Satisfied
2550,272E975v,Male,Premium,46.0,76.35,New,Technology,5,5,4,4,4,4,5,4,5,0,0,Satisfied
2551,493Q257i,Female,Premium,25.0,68.17,New,Home/Kitchen,4,4,4,3,2,5,4,5,4,0,0,Satisfied
2552,587J347i,Female,Premium,,135.46,New,Home/Kitchen,1,1,2,4,5,4,4,4,2,0,0,Not Satisfied
2553,391C934k,Male,Not Premium,25.0,45.21,New,Technology,5,3,3,3,3,4,3,5,3,0,0,Not Satisfied
2554,286C566q,Male,Premium,55.0,199.05,Used,Entertainment,2,2,4,4,4,4,3,4,1,0,0,Not Satisfied
2555,711E324f,Male,Premium,38.0,180.05,Used,Entertainment,3,4,2,2,2,3,1,3,2,0,0,Not Satisfied
2556,674W356i,Male,Not Premium,59.0,24.9,Used,Home/Kitchen,2,3,2,4,4,4,3,4,2,0,0,Not Satisfied
2557,064N78l6,Female,Premium,37.0,259.49,New,Home/Kitchen,5,2,1,5,2,5,5,4,1,0,0,Not Satisfied
2558,108R195i,Male,Not Premium,32.0,86.07,New,Technology,2,3,4,5,3,4,3,5,4,0,0,Not Satisfied
2559,304B928p,Female,Premium,50.0,374.05,New,Sport,4,4,2,3,4,3,3,3,3,1,0,Satisfied
2560,537H488c,Female,Premium,61.0,106.69,New,Home/Kitchen,1,4,5,1,2,4,2,3,5,0,0,Not Satisfied
2561,938H417i,Female,Not Premium,28.0,67.63,New,Home/Kitchen,5,3,2,5,1,2,1,5,2,0,0,Not Satisfied
2562,162Z689e,Male,Premium,20.0,15.5,New,Entertainment,2,4,4,4,3,5,3,5,4,0,0,Not Satisfied
2563,485A312d,Female,Premium,22.0,47.8,New,Sport,2,4,4,3,2,4,4,4,4,0,0,Not Satisfied
2564,726S292o,Male,Not Premium,24.0,117.8,New,Technology,4,1,4,3,5,5,2,5,2,0,0,Satisfied
2565,385Q565o,Male,Premium,32.0,236.18,New,Technology,0,4,3,5,2,2,3,4,3,0,0,Satisfied
2566,611A733d,Female,Premium,26.0,38.38,New,Technology,5,5,4,2,2,3,2,5,4,0,0,Satisfied
2567,770L521a,Female,Premium,,41.23,New,Technology,5,4,1,4,4,5,4,5,1,0,0,Satisfied
2568,730P398w,Male,Premium,45.0,286.42,New,Home/Kitchen,2,2,3,4,5,4,5,4,3,0,0,Satisfied
2569,278U131i,Female,Premium,46.0,41.74,New,Technology,2,4,2,2,3,4,4,3,2,0,0,Not Satisfied
2570,564Z131w,Female,Premium,48.0,300.72,New,Technology,3,3,2,3,4,3,4,3,4,0,0,Satisfied
2571,589K990b,Female,Premium,,64.42,New,Technology,5,4,5,5,2,4,3,5,5,0,0,Not Satisfied
2572,551X751i,Male,Premium,20.0,50.61,New,Home/Kitchen,1,1,3,2,3,3,1,2,3,0,0,Satisfied
2573,699J1o39,Male,Premium,48.0,299.77,New,Technology,2,2,2,5,5,5,4,5,3,0,0,Satisfied
2574,458J922k,Female,Premium,36.0,9.18,New,Other,4,4,2,3,3,3,2,4,2,0,0,Not Satisfied
2575,358Y902g,Male,Premium,51.0,335.66,Used,Entertainment,4,4,5,3,3,3,4,3,4,0,0,Not Satisfied
2576,603X626k,Male,Premium,51.0,4.91,New,Entertainment,4,4,4,4,4,4,4,4,3,0,0,Satisfied
2577,928U590q,Female,Premium,49.0,103.29,New,Technology,2,2,5,5,5,5,3,5,5,1,1,Satisfied
2578,697H135q,Male,Premium,35.0,124.48,New,Home/Kitchen,2,2,2,3,3,3,5,3,4,0,0,Satisfied
2579,264S933x,Female,Not Premium,24.0,33.91,New,Technology,2,3,4,1,4,3,2,4,4,0,0,Not Satisfied
2580,733U436m,Male,Premium,23.0,74.48,New,Other,5,5,4,5,4,1,5,1,4,0,1,Satisfied
2581,536A228o,Female,Premium,35.0,73.49,New,Sport,5,2,5,5,3,4,2,4,5,0,0,Not Satisfied
2582,702I460z,Female,Not Premium,54.0,34.13,New,Technology,1,2,3,1,3,2,4,2,3,0,0,Not Satisfied
2583,454S820n,Female,Not Premium,32.0,81.18,New,Home/Kitchen,3,3,2,3,3,4,1,3,2,0,0,Not Satisfied
2584,422B596w,Male,Premium,54.0,22.51,New,Home/Kitchen,5,4,2,5,3,5,5,5,4,0,0,Not Satisfied
2585,868F993m,Female,Premium,23.0,222.58,New,Technology,4,3,2,4,5,3,5,4,2,0,0,Not Satisfied
2586,190R703e,Female,Not Premium,20.0,22.8,New,Entertainment,3,4,1,3,3,4,3,3,1,0,0,Not Satisfied
2587,877D87c9,Male,Premium,,93.0,New,Sport,4,2,5,4,5,4,4,4,5,0,0,Not Satisfied
2588,105J471q,Male,Premium,58.0,393.27,New,Entertainment,2,2,4,4,4,4,5,4,3,0,0,Satisfied
2589,399S571c,Male,Premium,43.0,75.43,New,Sport,3,3,2,3,2,3,4,3,4,1,0,Satisfied
2590,128L655d,Female,Premium,42.0,27.45,New,Entertainment,4,3,3,3,2,5,3,4,3,0,0,Not Satisfied
2591,051M448b,Female,Premium,56.0,193.19,New,Sport,5,4,2,3,3,5,5,1,2,0,0,Not Satisfied
2592,770J636g,Female,Premium,55.0,114.55,New,Entertainment,5,5,3,1,3,3,4,2,4,0,1,Not Satisfied
2593,917X440q,Male,Not Premium,,178.07,New,Entertainment,1,3,1,3,1,4,4,4,1,0,0,Not Satisfied
2594,570X532i,Male,Not Premium,18.0,123.65,New,Entertainment,1,2,3,3,4,5,3,5,3,0,0,Not Satisfied
2595,542O409i,Male,Premium,37.0,35.51,New,Sport,4,4,5,4,4,5,1,3,5,1,1,Satisfied
2596,856N910y,Female,Premium,37.0,63.11,New,Entertainment,2,3,5,2,2,3,1,4,5,0,0,Not Satisfied
2597,879S504i,Male,Premium,33.0,232.99,New,Entertainment,1,1,3,4,5,4,3,4,4,0,0,Satisfied
2598,534E950l,Male,Premium,54.0,89.08,Used,Entertainment,4,3,1,3,3,1,2,3,2,0,0,Not Satisfied
2599,223E388m,Male,Premium,31.0,79.83,New,Technology,5,3,2,5,4,4,4,4,2,1,1,Satisfied
2600,687S197z,Female,Premium,36.0,228.29,New,Entertainment,4,4,4,2,3,3,1,4,4,0,0,Not Satisfied
2601,107N444j,Female,Not Premium,37.0,50.47,New,Entertainment,5,4,3,5,3,3,1,4,3,0,0,Not Satisfied
2602,724Y490c,Male,Premium,33.0,229.14,New,Entertainment,5,5,3,1,4,4,3,1,3,0,0,Not Satisfied
2603,913O823q,Female,Premium,,176.18,New,Home/Kitchen,1,1,4,2,5,2,2,3,4,0,0,Satisfied
2604,053X336l,Female,Premium,25.0,45.98,New,Home/Kitchen,2,4,2,1,2,4,3,4,2,0,0,Not Satisfied
2605,671Q16p6,Male,Not Premium,48.0,116.96,New,Sport,2,3,3,3,4,3,1,4,3,0,0,Not Satisfied
2606,784A735w,Male,Premium,30.0,42.96,New,Technology,2,2,4,2,4,4,2,3,4,0,0,Not Satisfied
2607,353X143b,Female,Premium,39.0,279.93,New,Entertainment,4,4,5,4,4,4,3,4,4,0,0,Satisfied
2608,954W397i,Male,Premium,51.0,28.68,Used,Technology,0,3,4,3,1,3,1,3,4,0,0,Not Satisfied
2609,640M6h79,Female,Premium,36.0,233.72,New,Sport,4,5,5,4,3,4,5,4,5,0,0,Not Satisfied
2610,661X588z,Male,Premium,40.0,26.03,New,Home/Kitchen,0,5,4,5,5,5,5,5,5,0,0,Satisfied
2611,711A71h3,Male,Premium,36.0,27.53,New,Home/Kitchen,5,1,5,2,5,2,4,2,4,0,0,Satisfied
2612,629H452f,Female,Premium,54.0,234.49,New,Entertainment,2,2,5,4,4,4,4,4,3,0,0,Satisfied
2613,910K64g8,Male,Premium,60.0,13.43,New,Entertainment,5,3,2,3,1,3,5,3,4,0,0,Not Satisfied
2614,762J329o,Male,Premium,62.0,10.01,New,Entertainment,1,3,5,3,3,3,1,3,3,0,0,Not Satisfied
2615,809W217y,Male,Not Premium,25.0,122.0,New,Sport,3,3,2,4,3,2,4,4,2,0,0,Not Satisfied
2616,217F709t,Female,Premium,35.0,9.15,New,Sport,5,1,1,5,5,4,3,5,1,0,0,Not Satisfied
2617,985F861f,Female,Premium,52.0,26.49,New,Technology,4,3,1,3,2,3,3,4,1,1,0,Not Satisfied
2618,824I460a,Male,Premium,68.0,33.13,New,Technology,3,4,4,3,2,3,1,3,1,0,0,Not Satisfied
2619,220U125a,Female,Premium,31.0,38.97,New,Other,2,2,5,2,5,2,4,5,5,0,0,Satisfied
2620,858I846c,Female,Premium,54.0,22.04,New,Home/Kitchen,5,5,5,4,4,4,3,4,4,0,0,Satisfied
2621,812Q753m,Female,Premium,45.0,43.96,New,Technology,2,4,2,4,5,4,4,4,2,0,0,Not Satisfied
2622,336T781p,Female,Premium,46.0,204.52,New,Technology,5,5,4,4,3,5,4,4,4,0,0,Satisfied
2623,130L779k,Female,Premium,57.0,44.64,New,Home/Kitchen,3,3,4,4,2,4,3,3,4,1,1,Not Satisfied
2624,102G957w,Female,Premium,28.0,159.45,New,Technology,1,1,4,5,2,4,5,5,4,0,0,Satisfied
2625,542J707b,Male,Premium,70.0,96.15,New,Entertainment,4,4,3,5,3,3,1,5,4,0,0,Not Satisfied
2626,162A280a,Female,Premium,51.0,176.1,Used,Entertainment,0,4,5,2,2,2,4,2,4,0,0,Satisfied
2627,971N83c4,Male,Premium,27.0,71.44,New,Technology,4,2,5,4,2,5,3,4,5,0,0,Not Satisfied
2628,568J792d,Male,Premium,25.0,49.64,New,Home/Kitchen,4,4,2,1,5,4,4,4,2,0,0,Not Satisfied
2629,664Y687m,Female,Premium,54.0,15.84,New,Entertainment,0,4,4,2,1,1,4,2,5,0,0,Satisfied
2630,740U401h,Female,Premium,38.0,10.83,New,Technology,2,2,5,4,4,3,1,3,5,0,0,Satisfied
2631,149O278g,Male,Premium,52.0,58.03,New,Technology,4,3,2,5,3,5,5,5,4,0,0,Not Satisfied
2632,864J19f9,Male,Premium,59.0,304.34,New,Entertainment,2,2,3,5,5,5,4,5,3,0,0,Satisfied
2633,841H3y98,Male,Premium,20.0,4.26,New,Other,5,5,5,3,3,5,1,4,5,0,0,Satisfied
2634,324E833u,Male,Not Premium,42.0,196.46,New,Entertainment,4,4,4,4,3,5,5,5,4,0,0,Not Satisfied
2635,632R621j,Female,Not Premium,37.0,36.45,New,Technology,1,3,1,1,5,3,2,4,1,0,0,Not Satisfied
2636,101T450d,Male,Premium,27.0,321.11,New,Home/Kitchen,1,1,4,1,1,5,4,2,4,0,0,Satisfied
2637,510I759y,Female,Premium,45.0,206.76,New,Technology,4,4,3,4,4,4,4,4,4,0,0,Satisfied
2638,187A753u,Male,Premium,52.0,27.39,New,Entertainment,4,4,4,1,2,1,2,1,2,0,0,Not Satisfied
2639,026X60a9,Female,Premium,56.0,56.76,New,Entertainment,2,2,1,2,3,2,2,2,2,0,0,Not Satisfied
2640,514L193n,Female,Premium,35.0,186.93,New,Home/Kitchen,2,2,4,4,4,4,4,4,4,0,0,Satisfied
2641,808V261c,Female,Premium,,41.24,New,Home/Kitchen,5,1,2,1,5,4,3,4,2,0,0,Not Satisfied
2642,401T946s,Female,Premium,24.0,63.21,New,Technology,4,4,4,4,1,3,4,3,4,0,0,Not Satisfied
2643,659L622y,Female,Premium,64.0,39.92,New,Entertainment,1,3,3,1,5,2,3,2,3,0,0,Not Satisfied
2644,196S975i,Female,Premium,37.0,25.27,New,Entertainment,1,1,2,1,4,2,2,3,2,0,0,Not Satisfied
2645,102T162t,Male,Premium,40.0,176.32,New,Technology,1,1,5,5,5,5,4,5,3,0,0,Satisfied
2646,883D127g,Male,Premium,49.0,241.19,Used,Home/Kitchen,1,1,3,4,4,4,3,4,4,0,0,Satisfied
2647,476N438j,Female,Premium,38.0,67.55,New,Other,2,3,4,2,4,4,4,4,4,0,0,Not Satisfied
2648,199T22j3,Male,Premium,56.0,25.94,New,Technology,3,3,2,5,4,5,4,5,5,0,0,Satisfied
2649,860H820f,Male,Not Premium,21.0,20.58,New,Technology,0,2,3,3,2,3,3,5,3,0,0,Not Satisfied
2650,838X361k,Female,Premium,55.0,44.01,New,Entertainment,3,3,2,4,4,4,4,4,3,0,0,Satisfied
2651,663X443w,Male,Premium,39.0,375.09,New,Sport,3,5,2,5,5,4,4,5,3,0,0,Satisfied
2652,730Z487f,Male,Premium,40.0,167.06,New,Entertainment,2,2,5,4,4,4,3,4,5,0,0,Satisfied
2653,537Z385s,Male,Premium,,109.19,New,Home/Kitchen,2,2,4,5,1,5,4,4,4,0,0,Satisfied
2654,012Y249a,Female,Premium,23.0,61.83,New,Entertainment,4,4,2,4,4,3,2,3,2,0,0,Not Satisfied
2655,760C284k,Female,Premium,47.0,229.25,New,Technology,2,2,5,3,4,3,5,3,4,0,0,Satisfied
2656,714A940o,Female,Premium,33.0,32.62,New,Technology,5,3,2,3,2,5,5,5,2,0,0,Not Satisfied
2657,156P208y,Female,Not Premium,26.0,26.73,New,Entertainment,0,3,2,4,3,4,5,1,5,1,2,Not Satisfied
2658,167J492s,Male,Not Premium,39.0,121.38,New,Entertainment,2,4,4,3,3,1,1,3,4,0,0,Not Satisfied
2659,929H738n,Female,Premium,66.0,158.34,New,Entertainment,2,5,1,1,3,2,1,3,1,0,0,Not Satisfied
2660,099E258j,Male,Premium,75.0,183.95,New,Technology,2,2,3,4,4,4,4,4,5,0,0,Satisfied
2661,726K986i,Male,Premium,57.0,84.68,New,Technology,5,1,3,3,2,3,3,3,4,0,0,Not Satisfied
2662,882Z309h,Male,Premium,52.0,283.21,New,Sport,4,4,2,5,5,4,4,5,4,0,0,Satisfied
2663,907L522q,Female,Premium,47.0,64.08,New,Home/Kitchen,5,5,3,1,4,2,1,2,3,0,0,Not Satisfied
2664,604C195q,Male,Premium,69.0,104.44,New,Technology,4,3,4,4,2,4,3,4,3,1,0,Not Satisfied
2665,491F239c,Female,Premium,25.0,106.97,New,Entertainment,1,1,3,1,5,3,1,4,3,0,0,Not Satisfied
2666,329O841d,Female,Premium,42.0,317.63,New,Entertainment,2,2,5,5,4,4,4,5,5,0,0,Satisfied
2667,558F105n,Male,Premium,30.0,125.05,New,Entertainment,3,3,4,2,3,2,1,3,4,0,0,Satisfied
2668,642J219v,Female,Premium,64.0,2.67,New,Sport,4,2,5,4,5,5,5,5,5,0,0,Not Satisfied
2669,719L103l,Female,Premium,64.0,171.18,New,Technology,4,4,3,3,3,3,5,3,4,0,0,Satisfied
2670,184Q929b,Female,Premium,69.0,137.69,New,Technology,2,4,4,1,1,4,3,4,4,0,0,Not Satisfied
2671,135B344d,Male,Premium,45.0,51.28,New,Technology,4,3,4,2,4,5,1,3,1,1,1,Not Satisfied
2672,422U686c,Female,Premium,33.0,124.04,New,Technology,4,1,1,3,5,5,3,4,1,1,1,Not Satisfied
2673,474M19a7,Female,Premium,39.0,56.42,New,Entertainment,5,3,5,2,2,4,3,4,5,0,0,Not Satisfied
2674,303Q655j,Female,Premium,72.0,145.03,New,Entertainment,2,2,5,3,3,3,3,3,4,0,0,Not Satisfied
2675,579R372u,Male,Premium,37.0,23.7,New,Technology,4,4,4,1,5,1,4,5,4,0,0,Satisfied
2676,807K719a,Male,Not Premium,,84.2,New,Technology,2,3,3,4,3,3,2,3,3,0,0,Not Satisfied
2677,784B876c,Female,Premium,55.0,106.61,New,Entertainment,3,3,1,3,5,3,1,3,1,0,0,Not Satisfied
2678,213Y769v,Female,Not Premium,20.0,14.0,New,Technology,2,4,3,4,2,3,1,4,3,0,0,Not Satisfied
2679,661L641n,Male,Premium,32.0,164.04,New,Technology,2,2,5,5,5,5,3,2,5,0,0,Satisfied
2680,611F562j,Female,Not Premium,25.0,39.64,New,Technology,0,1,2,5,2,4,4,4,2,0,0,Not Satisfied
2681,928H701q,Male,Premium,52.0,400.8,New,Home/Kitchen,4,4,5,5,5,5,3,5,5,0,0,Satisfied
2682,104N681y,Male,Premium,54.0,281.18,New,Home/Kitchen,3,3,5,5,5,5,3,5,4,0,0,Satisfied
2683,309Y287y,Male,Premium,54.0,106.12,New,Technology,4,2,3,1,3,1,4,1,4,0,0,Not Satisfied
2684,986M44j3,Female,Not Premium,25.0,163.9,New,Home/Kitchen,4,1,4,1,4,2,2,1,4,0,0,Not Satisfied
2685,195Y701w,Male,Premium,48.0,49.48,New,Home/Kitchen,3,3,2,3,3,3,3,3,1,1,1,Not Satisfied
2686,476T520k,Female,Not Premium,21.0,67.96,New,Entertainment,0,4,4,3,5,5,4,4,4,0,0,Satisfied
2687,337W587u,Male,Premium,47.0,331.02,New,Home/Kitchen,4,4,4,4,4,4,4,4,4,0,0,Satisfied
2688,656Q27q3,Female,Premium,48.0,380.56,New,Technology,3,3,5,5,5,5,4,5,4,0,0,Satisfied
2689,242T561c,Female,Premium,22.0,370.42,Used,Entertainment,5,5,3,5,5,5,5,4,3,1,1,Satisfied
2690,994E686q,Male,Not Premium,38.0,104.24,New,Technology,2,4,3,4,2,4,1,3,3,0,0,Not Satisfied
2691,582E686l,Male,Not Premium,40.0,48.75,New,Sport,3,3,1,3,2,5,5,4,1,0,0,Not Satisfied
2692,449R382z,Female,Premium,27.0,99.25,Used,Home/Kitchen,4,1,4,5,2,4,4,4,4,0,0,Not Satisfied
2693,496X536y,Female,Premium,51.0,337.74,New,Home/Kitchen,2,2,2,2,2,2,3,2,1,0,0,Not Satisfied
2694,351X293w,Female,Premium,70.0,344.67,New,Technology,3,3,3,2,2,2,4,2,3,0,0,Not Satisfied
2695,649W689f,Female,Premium,52.0,74.07,New,Technology,4,1,3,5,4,1,5,2,3,0,0,Not Satisfied
2696,217D5o98,Male,Premium,39.0,49.65,New,Technology,2,2,1,4,2,2,4,3,1,0,0,Not Satisfied
2697,870G76v1,Female,Premium,54.0,344.44,New,Entertainment,1,1,1,2,2,2,1,2,2,1,1,Not Satisfied
2698,661E726g,Female,Not Premium,25.0,71.32,Used,Entertainment,1,3,1,3,4,4,2,3,1,0,0,Not Satisfied
2699,063D26y1,Female,Not Premium,47.0,137.75,New,Sport,5,3,5,2,4,3,4,2,5,0,0,Not Satisfied
2700,308C103i,Female,Premium,58.0,11.57,New,Technology,3,1,4,1,3,3,1,4,4,0,0,Not Satisfied
2701,087E399f,Female,Premium,48.0,71.12,New,Technology,4,2,3,1,4,4,4,4,3,0,0,Not Satisfied
2702,591J640m,Male,Not Premium,32.0,46.48,New,Home/Kitchen,0,4,2,1,4,4,2,3,2,0,0,Not Satisfied
2703,053L178t,Male,Premium,26.0,242.54,Used,Home/Kitchen,5,5,3,4,3,3,2,4,3,0,0,Not Satisfied
2704,023L132m,Male,Premium,35.0,122.81,New,Technology,5,5,5,1,2,4,1,5,5,0,0,Satisfied
2705,871D347g,Male,Not Premium,30.0,93.83,New,Entertainment,3,4,4,3,4,5,5,5,4,0,0,Not Satisfied
2706,394B544c,Male,Premium,,105.72,New,Entertainment,4,1,2,4,5,5,5,5,2,0,0,Satisfied
2707,455R255n,Female,Premium,31.0,176.9,New,Entertainment,1,1,5,5,1,3,2,5,5,0,0,Satisfied
2708,497H952y,Female,Premium,29.0,71.71,New,Technology,5,5,4,5,2,4,5,4,4,0,0,Satisfied
2709,689E240k,Female,Not Premium,39.0,80.88,New,Entertainment,3,4,2,1,1,4,2,4,2,0,0,Not Satisfied
2710,646S705j,Male,Premium,35.0,338.52,New,Home/Kitchen,3,3,3,2,2,2,2,2,3,0,0,Not Satisfied
2711,907W73i5,Male,Premium,46.0,62.55,New,Entertainment,1,3,2,2,1,2,1,2,4,1,1,Not Satisfied
2712,023R698v,Female,Premium,21.0,162.31,New,Entertainment,4,2,3,5,4,4,3,4,3,0,0,Not Satisfied
2713,067V284l,Female,Premium,39.0,30.83,New,Home/Kitchen,5,5,4,5,2,1,5,3,4,0,0,Satisfied
2714,086X486v,Female,Premium,,37.79,New,Technology,1,3,3,2,2,3,3,4,3,0,0,Not Satisfied
2715,979J45m9,Female,Not Premium,21.0,71.12,New,Sport,0,4,3,2,1,5,2,5,3,0,0,Satisfied
2716,658M97u1,Male,Premium,61.0,21.84,New,Technology,3,1,5,2,3,2,3,2,3,0,0,Not Satisfied
2717,594V892n,Male,Premium,44.0,23.82,New,Sport,2,2,4,4,4,4,5,4,3,0,0,Satisfied
2718,037O902z,Male,Premium,35.0,13.4,New,Home/Kitchen,1,1,3,1,2,2,3,2,3,2,2,Not Satisfied
2719,795A508s,Female,Premium,28.0,45.25,New,Entertainment,5,3,4,4,5,5,3,5,4,0,0,Not Satisfied
2720,069V3r72,Female,Not Premium,35.0,62.96,New,Technology,2,2,5,5,5,5,4,4,5,0,0,Not Satisfied
2721,623G14q3,Female,Premium,62.0,34.72,New,Home/Kitchen,5,1,2,4,2,5,3,4,2,1,1,Not Satisfied
2722,985H323k,Male,Not Premium,24.0,58.62,New,Technology,4,4,4,4,3,4,2,4,4,0,0,Not Satisfied
2723,269U615p,Female,Premium,77.0,121.69,New,Entertainment,3,3,5,1,1,1,2,1,3,0,0,Not Satisfied
2724,950Z228y,Male,Premium,59.0,5.72,New,Entertainment,4,3,1,1,4,1,4,1,2,0,0,Satisfied
2725,654V88l3,Male,Premium,27.0,98.25,New,Technology,5,3,4,1,5,3,5,4,4,0,0,Not Satisfied
2726,558A128w,Male,Premium,39.0,56.03,New,Home/Kitchen,5,5,4,5,5,5,5,5,4,0,0,Satisfied
2727,685U791p,Male,Premium,32.0,108.26,New,Technology,4,4,1,1,5,3,4,3,1,0,0,Not Satisfied
2728,343H405e,Female,Premium,35.0,128.63,Used,Sport,5,1,5,4,3,4,4,5,5,0,0,Not Satisfied
